		AC	GU
1	100	0.0022586792452830183	0.0008727659574468086
51	150	0.0024406382978723407	0.0009766037735849057
101	200	0.002124375	0.0009778846153846155
151	250	0.0019249999999999998	0.001055
201	300	0.0015840425531914897	0.000960943396226415
251	350	0.0015328	0.0008010000000000001
301	400	0.001557555555555556	0.0007932727272727272
351	450	0.0011388095238095237	0.0008993103448275861
401	500	0.0012582978723404256	0.0009864150943396227
451	550	0.0013739583333333336	0.0011071153846153848
501	600	0.00129325	0.0009976666666666667
551	650	0.001010909090909091	0.0007864285714285715
601	700	0.001069183673469388	0.0008515686274509804
651	750	0.001214375	0.0007984615384615384
701	800	0.0013352941176470587	0.0009275510204081632
751	850	0.0017342	0.0012129999999999999
801	900	0.0015497959183673469	0.0010868627450980391
851	950	0.0011772916666666668	0.0008834615384615385
901	1000	0.0011946808510638297	0.0007986792452830188
951	1050	0.0009119230769230769	0.0007991666666666668
1001	1100	0.0007203921568627452	0.0007016326530612246
1051	1150	0.0010477358490566036	0.0006748936170212766
1101	1200	0.0012209615384615386	0.0008152083333333333
1151	1250	0.0011459574468085105	0.0007628301886792453
1201	1300	0.0011311111111111112	0.000781272727272727
1251	1350	0.001259130434782609	0.0007570370370370371
1301	1400	0.0011044	0.0006952
1351	1450	0.0009363461538461537	0.0008222916666666666
1401	1500	0.0013109090909090909	0.0009560714285714286
1451	1550	0.0017428571428571428	0.00104
1501	1600	0.0011815	0.000843
1551	1650	0.0007394545454545455	0.0005297777777777778
1601	1700	0.0008711111111111111	0.0005341304347826086
1651	1750	0.0012171052631578948	0.0005949999999999998
1701	1800	0.0010690697674418605	0.0006556140350877193
1751	1850	0.0007212727272727273	0.0009148888888888888
1801	1900	0.0008972000000000001	0.000921
1851	1950	0.0014202325581395352	0.0008868421052631579
1901	2000	0.0013836538461538465	0.0009491666666666667
1951	2050	0.001309622641509434	0.0008925531914893617
2001	2100	0.0012748780487804878	0.0007749152542372881
2051	2150	0.0013055555555555552	0.0007216363636363635
2101	2200	0.0010434782608695653	0.0007011111111111111
2151	2250	0.0006641666666666667	0.00077515625
2201	2300	0.0006979545454545454	0.0007758928571428572
2251	2350	0.0008345454545454545	0.0006428571428571428
2301	2400	0.000936904761904762	0.0009858620689655172
2351	2450	0.0009154901960784315	0.0010171428571428573
2401	2500	0.000902982456140351	0.0005958139534883722
2451	2550	0.0008148214285714286	0.0005665909090909091
2501	2600	0.0009962264150943396	0.000574468085106383
2551	2650	0.0011024000000000001	0.0007278000000000001
2601	2700	0.001040925925925926	0.000751304347826087
2651	2750	0.001148103448275862	0.000795
2701	2800	0.00106	0.0007849019607843138
2751	2850	0.0009134782608695652	0.0005964814814814816
2801	2900	0.0011477272727272727	0.0006082142857142857
2851	2950	0.001053673469387755	0.0007168627450980391
