first,last,unpaired-recovery
1,120,0.78125
41,158,0.7777777777777778
81,198,0.6590909090909091
121,238,0.5869565217391305
159,278,0.7954545454545454
319,438,0.611111111111111
399,518,0.875
639,758,0.5625
719,838,0.6111111111111112
839,958,0.8214285714285715
919,1038,0.8448275862068966
1119,1238,0.4791666666666667
1159,1278,0.54
1199,1318,0.5
1239,1358,0.4655172413793103
1559,1678,0.64
1599,1718,0.38888888888888884
1639,1758,0.4761904761904762
1719,1838,0.5666666666666667
2119,2238,0.888888888888889
2159,2278,0.64
2319,2438,0.6041666666666666
2479,2586,0.6666666666666666
2519,2626,0.3695652173913044
2707,2823,0.7333333333333334
2744,2863,0.4642857142857143
2904,3023,0.44
2944,3063,0.5
3095,3211,0.6122448979591837
3372,3491,0.62
3492,3608,0.7547169811320755
3809,3898,0.6944444444444444
4055,4174,0.423076923076923
4095,4214,0.4523809523809524
4135,4254,0.6346153846153847
4175,4294,0.6851851851851852
4215,4334,0.6071428571428571
4295,4414,0.5833333333333333
4415,4534,0.275
4535,4654,0.4
4575,4694,0.5238095238095238
4815,4931,0.6
4932,5051,0.575
4972,5091,0.825
5012,5131,0.7045454545454546
5052,5171,0.41666666666666663
5092,5211,0.5869565217391305
5212,5331,0.7000000000000001
5252,5371,0.5208333333333334
5292,5411,0.54
5332,5451,0.7608695652173914
5452,5571,0.92
5652,5771,0.5882352941176471
5692,5811,0.75
5732,5851,0.7608695652173914
6012,6131,0.7241379310344828
6092,6211,0.5217391304347827
6132,6251,0.5
6212,6331,0.7321428571428571
6252,6371,0.6956521739130436
6412,6531,0.5151515151515151
6452,6571,0.6129032258064516
6612,6731,0.6428571428571428
6972,7091,0.75
7012,7131,0.7307692307692307
7052,7171,0.5454545454545454
7132,7251,0.6923076923076923
7172,7291,0.44
7452,7571,0.5
7772,7891,0.4807692307692308
8092,8211,0.6136363636363636
8132,8251,0.5909090909090908
8292,8411,0.6904761904761906
8691,8810,0.6136363636363636
8811,8930,0.92
8851,8970,0.5769230769230769
9211,9330,0.5952380952380953
9251,9370,0.54
9371,9490,0.3
9411,9530,0.7391304347826088
9611,9730,0.9464285714285714
10131,10250,0.48
10371,10490,0.5800000000000001
10411,10530,0.5434782608695653
10451,10570,0.9166666666666666
10851,10970,0.875
10931,11050,0.6428571428571429
10971,11090,0.5
11011,11130,0.5625
11051,11170,0.6538461538461539
11091,11210,0.564516129032258
11211,11330,0.625
11651,11770,0.48437499999999994
11691,11810,0.52
11731,11850,0.8518518518518519
11771,11890,0.5892857142857143
12171,12290,0.6153846153846153
