		Lan-Vero	Lan-Huh7
161	240	0.7658947135217783	
241	320	0.29049547215090593	
321	400	0.7281918983081088	
401	480	0.4833559153630414	
481	560	0.09471081340958204	
561	640	0.6723172773009362	
630	801		0.6648229616350444
641	720	0.15864786088630944	
721	800	0.13368264635425187	
801	880	0.01963108418588773	
961	1040	0.1301798761191906	
1036	1201		0.689178729464871
1041	1120	0.6078783299212563	
1121	1200	0.5968660329315335	
1201	1280	0.6421479826222606	
1281	1360	0.29883259761239467	
1431	1598		0.6630321568204351
1441	1520	0.022800852868772085	
1521	1600	0.5211961375498568	
1601	1680	0.23929788283386516	
1681	1760	0.3099478405804106	
1761	1840	0.23851737379645543	
1841	1920	0.8538095577489339	
2001	2080	0.07282189656764264	
2049	2222		0.6343422898739528
2081	2160	-0.05038606787447074	
2161	2240	0.4065940911712294	
2241	2320	0.14545848244448215	
2321	2400	0.40175139405708443	
2401	2480	0.0725965904661372	
2454	2620		0.573402569991978
2481	2560	0.5165071074676139	
2561	2640	0.510575909923535	
2641	2720	0.16097259599989588	
2648	2779		0.7583102284364963
2721	2800	0.019014487824203903	
2801	2880	0.2736137512690039	
2856	3009		0.7956180718209492
2881	2960	-0.19346646112797813	
2961	3040	0.1437242722166181	
3041	3120	0.2403730906715946	
3121	3200	0.504798519248501	
3201	3280	0.3828066426158455	
3281	3360	0.05230362860108925	
3361	3440	0.18531805768463552	
3441	3520	0.07003686635914107	
3450	3614		0.6226835479110826
3521	3600	0.41679360767692997	
3601	3680	0.08169460316740024	
3635	3805		0.37404091343318385
3681	3760	0.016847299487773863	
3841	3920	-0.033235496615029954	
3921	4000	0.07660681190959477	
4001	4080	0.27824353961623494	
4081	4208		0.6478386209992769
4161	4240	0.2787602325546899	
4231	4418		0.48918531259841064
4241	4320	0.06926957360687877	
4321	4400	0.09419635221980863	
4401	4480	0.2816597461021573	
4481	4560	0.42675807640144603	
4561	4640	0.19671798609227542	
4641	4720	0.4446956928872382	
4652	4779		0.7204626029559965
4721	4800	0.24799848611380215	
4801	4880	0.3425043713745183	
4881	4960	0.33762793601940627	
4961	5040	0.0719930040201375	
5041	5120	0.26555101385519314	
5053	5202		0.7438614206513289
5121	5200	0.3390847941814547	
5201	5280	0.08493803562702881	
5281	5360	0.3405610289483261	
5361	5440	0.18339759593974347	
5441	5520	0.5196173218790976	
5465	5610		0.5976826273094639
5521	5600	0.23209499288782798	
5601	5680	0.2006523030503134	
5637	5806		0.2628486326710532
5681	5760	0.34853120304994545	
5761	5840	0.08446611029057735	
5841	5920	0.31940302138017285	
5921	6000	0.3381772835932156	
6040	6212		0.6328767405569758
6081	6160	0.4158511661452519	
6161	6240	0.19150955330825759	
6241	6320	0.43033171848665963	
6321	6400	0.176901894490314	
6401	6480	0.39722362099047853	
6437	6617		0.7125618932749468
6481	6560	0.3774428057876585	
6561	6640	0.20452912548108396	
6641	6720	0.3513103532331645	
6721	6800	0.14393619890337772	
6801	6880	0.21984800670299118	
6961	7040	0.5670791462764355	
7033	7219		0.38612043530278184
7041	7120	0.4035185671682041	
7201	7280	-0.06221352138661876	
7281	7360	-0.08004501783708402	
7361	7440	0.33110546269641994	
7438	7610		0.5306769257867759
7441	7520	-0.060717828447194755	
7521	7600	-0.16806626989881493	
7601	7680	0.02593018131189689	
7681	7760	0.0806339646072195	
7761	7840	0.2343292734273174	
7841	7920	0.34623201815940885	
7921	8000	0.4288459954625909	
8001	8080	0.31016824863383713	
8081	8160	0.2823196543725246	
8161	8240	-0.03951273673763156	
8241	8320	0.10110024888098054	
8270	8386		0.2529702175109529
8321	8400	-0.016514874076147157	
8401	8480	0.04704440578441654	
8481	8560	-0.30725537345630477	
8561	8640	-0.3831326620722273	
8641	8720	0.5016380414712633	
8721	8800	0.17220638096386343	
8801	8880	0.23175520965272006	
8831	8999		0.6656061263790873
8881	8960	-0.06701624734975808	
8961	9040	0.21833806379324094	
9041	9120	0.6542060901362806	
9201	9280	-0.3632491083164374	
9242	9407		0.5098843283675218
9281	9360	0.05962656171993195	
9361	9440	0.4713642635739869	
9441	9520	0.6022708231949374	
9521	9600	0.40303298935871945	
9601	9680	0.01857845801018898	
9681	9760	0.10732996674569127	
9761	9840	0.24172212392456688	
9841	9920	0.31417552403682913	
9870	10017		0.602036473942824
9921	10000	0.27364014388511526	
10001	10080	-0.008516552709802594	
10161	10240	0.2722246427820405	
10241	10320	0.3912652082430056	
10321	10400	0.06570004026458054	
10401	10480	0.43881147714403207	
10446	10616		0.3255511012770965
10481	10560	-0.20030780972888632	
10561	10640	0.2874220158359987	
10631	10810		0.4828139744514934
10641	10720	0.3218733992951362	
10721	10800	-0.16020400017493422	
10801	10880	0.3951076186348276	
10832	11005		0.6202944729500659
11041	11120	0.23548959080086207	
11121	11200	0.08659324102812313	
11201	11280	0.2839473006797934	
11249	11375		0.6949096009670657
