		0
128	149	22
505	528	24
726	756	31
823	837	15
926	939	14
1071	1089	19
1304	1321	18
1330	1359	30
1377	1399	23
1421	1438	18
1573	1598	26
1610	1636	27
1919	1939	21
2083	2097	15
2104	2117	14
2385	2398	14
2435	2458	24
2550	2568	19
2667	2682	16
2801	2817	17
2901	2918	18
3116	3129	14
3258	3273	16
3349	3371	23
3647	3662	16
3668	3683	16
3733	3818	86
4101	4122	22
4264	4307	44
4580	4608	29
4619	4645	27
4702	4715	14
4826	4846	21
4877	4897	21
5020	5036	17
5258	5271	14
5297	5311	15
5382	5399	18
5522	5535	14
5647	5662	16
5688	5715	28
5773	5795	23
5933	5949	17
5955	5969	15
6058	6076	19
6121	6145	25
6346	6362	17
6505	6532	28
6567	6589	23
6622	6640	19
6697	6736	40
6757	6785	29
6925	6973	49
7010	7025	16
7073	7092	20
7146	7164	19
7260	7280	21
7391	7404	14
7511	7567	57
7590	7603	14
7690	7716	27
7725	7743	19
8075	8095	21
8129	8143	15
8290	8321	32
8336	8349	14
8459	8472	14
8523	8537	15
8556	8576	21
8621	8636	16
8766	8779	14
8800	8822	23
8906	8942	37
8957	8973	17
9092	9111	20
9138	9158	21
9187	9210	24
9527	9546	20
9555	9569	15
9624	9680	57
9913	9931	19
10006	10030	25
10067	10096	30
10157	10174	18
10440	10456	17
10500	10536	37
10551	10614	64
10754	10781	28
10788	10804	17
10810	10823	14
10842	10858	17
10912	10927	16
11040	11063	24
11069	11082	14
11118	11131	14
11169	11230	62
11470	11488	19
11560	11577	18
11729	11742	14
11755	11772	18
11814	11830	17
11910	11927	18
11957	11970	14
12014	12027	14
12056	12129	74
12173	12220	48
12281	12309	29
12314	12330	17
12484	12498	15
12619	12635	17
12665	12696	32
12741	12766	26
12775	12791	17
12875	12928	54
12967	12988	22
13052	13065	14
13454	13468	15
13481	13502	22
13723	13736	14
13912	13957	46
13990	14005	16
14056	14070	15
14170	14185	16
14328	14341	14
14405	14418	14
14642	14690	49
14819	14841	23
15137	15177	41
15196	15213	18
15236	15272	37
15459	15472	14
15498	15514	17
15560	15573	14
15695	15720	26
15801	15818	18
15902	15918	17
16199	16213	15
16297	16312	16
16419	16435	17
16446	16461	16
16592	16607	16
16719	16735	17
16787	16805	19
16938	16954	17
16990	17026	37
17273	17294	22
17491	17504	14
17515	17538	24
17561	17593	33
17651	17667	17
17739	17796	58
17822	17853	32
17875	17897	23
18008	18052	45
18102	18115	14
18151	18180	30
18219	18260	42
18321	18360	40
18371	18384	14
18415	18436	22
18471	18486	16
18531	18546	16
18789	18802	14
18918	18937	20
18965	18991	27
19003	19018	16
19569	19593	25
19601	19615	15
19623	19664	42
19861	19876	16
19883	19899	17
20003	20023	21
20092	20161	70
20198	20213	16
20230	20253	24
20403	20455	53
20645	20667	23
20693	20708	16
20794	20834	41
20947	21008	62
21123	21147	25
21235	21248	14
21304	21317	14
21478	21501	24
21535	21553	19
21573	21750	178
21855	21868	14
21949	21974	26
22115	22137	23
22153	22170	18
22322	22338	17
22390	22405	16
22442	22459	18
22547	22573	27
22611	22624	14
22736	22750	15
23010	23046	37
23097	23113	17
23122	23135	14
23155	23168	14
23306	23324	19
23396	23460	65
23626	23641	16
23655	23695	41
23705	23725	21
23910	23934	25
23960	23973	14
23984	23999	16
24123	24150	28
24166	24185	20
24234	24250	17
24270	24304	35
24337	24353	17
24361	24384	24
24490	24503	14
24594	24607	14
24779	24798	20
24885	24911	27
24986	25032	47
25133	25148	16
25408	25470	63
25546	25563	18
25579	25592	14
25704	25731	28
25760	25783	24
25798	25816	19
25823	25836	14
26198	26220	23
26352	26386	35
26508	26531	24
26722	26742	21
26862	26885	24
26903	26919	17
27128	27148	21
27289	27302	14
27312	27327	16
27363	27408	46
27546	27560	15
27669	27705	37
27751	27790	40
27808	27828	21
27869	27882	14
27997	28012	16
28142	28163	22
28333	28346	14
28426	28455	30
28622	28636	15
28688	28711	24
28721	28754	34
28767	28781	15
28847	28860	14
29012	29025	14
29074	29089	16
29110	29133	24
29155	29178	24
29307	29320	14
29488	29502	15
29614	29628	15
29658	29694	37
29786	29800	15
29819	29841	23
29850	29882	33
