	start	end	color	y_min	y_max
Lan-Vero_1489-1603	1489	1603	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_2973-3057	2973	3057	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_3108-3142	3108	3142	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_3278-3395	3278	3395	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_3610-3715	3610	3715	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_3904-4006	3904	4006	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_4214-4480	4214	4480	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_4991-5056	4991	5056	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_5164-5252	5164	5252	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_6393-6429	6393	6429	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_6466-6544	6466	6544	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_6829-6901	6829	6901	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_7293-7354	7293	7354	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_7485-7529	7485	7529	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_7830-7947	7830	7947	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_8092-8129	8092	8129	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_8256-8380	8256	8380	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_8512-8675	8512	8675	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_8799-8838	8799	8838	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_8930-9018	8930	9018	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_9327-9399	9327	9399	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_9673-9784	9673	9784	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_9986-10069	9986	10069	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_10141-10202	10141	10202	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_10273-10372	10273	10372	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_10445-10632	10445	10632	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_10741-10787	10741	10787	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_11022-11260	11022	11260	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_11344-11548	11344	11548	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_11739-11970	11739	11970	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_12076-12342	12076	12342	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_12454-12504	12454	12504	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_12575-12641	12575	12641	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_12769-12824	12769	12824	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_13136-13211	13136	13211	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_13465-13592	13465	13592	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_14311-14411	14311	14411	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_14864-14964	14864	14964	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_15185-15520	15185	15520	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_16171-16211	16171	16211	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_16287-16402	16287	16402	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_16571-16760	16571	16760	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_16869-17031	16869	17031	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_17335-17387	17335	17387	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_17660-17824	17660	17824	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_17953-18023	17953	18023	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_18526-18677	18526	18677	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_18765-18839	18765	18839	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_19013-19154	19013	19154	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_19242-19416	19242	19416	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_19985-20104	19985	20104	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_20222-20281	20222	20281	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_21109-21174	21109	21174	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_21308-21444	21308	21444	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_22100-22159	22100	22159	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_22321-22463	22321	22463	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_22737-22827	22737	22827	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_22983-23031	22983	23031	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_23274-23366	23274	23366	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_24306-24410	24306	24410	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_24592-24672	24592	24672	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_24879-24920	24879	24920	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_25032-25176	25032	25176	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_25745-25836	25745	25836	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_26702-26769	26702	26769	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_27090-27145	27090	27145	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_28432-28492	28432	28492	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_29675-29712	29675	29712	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Vero_29770-29843	29770	29843	(0.6, 0.8, 0.4)	0.9	0.95
Lan-Huh7_630-801	630	801	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_1036-1201	1036	1201	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_1431-1598	1431	1598	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_2049-2222	2049	2222	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_2454-2620	2454	2620	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_2648-2779	2648	2779	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_2856-3009	2856	3009	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_3450-3614	3450	3614	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_3635-3805	3635	3805	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_4081-4208	4081	4208	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_4231-4418	4231	4418	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_4652-4779	4652	4779	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_5053-5202	5053	5202	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_5465-5610	5465	5610	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_5637-5806	5637	5806	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_6040-6212	6040	6212	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_6437-6617	6437	6617	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_7033-7219	7033	7219	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_7438-7610	7438	7610	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_8270-8386	8270	8386	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_8831-8999	8831	8999	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_9242-9407	9242	9407	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_9870-10017	9870	10017	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_10446-10616	10446	10616	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_10631-10810	10631	10810	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_10832-11005	10832	11005	(0.6, 0.6, 0.8)	0.95	1.0
