		Lan-Vero
1	80	False
2	81	False
3	82	False
4	83	False
5	84	False
6	85	False
7	86	False
8	87	False
9	88	False
10	89	False
11	90	False
12	91	False
13	92	False
14	93	False
15	94	False
16	95	False
17	96	False
18	97	False
19	98	False
20	99	False
21	100	False
22	101	False
23	102	False
24	103	False
25	104	False
26	105	False
27	106	False
28	107	False
29	108	False
30	109	False
31	110	False
32	111	False
33	112	False
34	113	False
35	114	False
36	115	False
37	116	False
38	117	False
39	118	False
40	119	False
41	120	False
42	121	False
43	122	False
44	123	False
45	124	False
46	125	False
47	126	False
48	127	False
49	128	False
50	129	False
51	130	False
52	131	False
53	132	False
54	133	False
55	134	False
56	135	False
57	136	False
58	137	False
59	138	False
60	139	False
61	140	False
62	141	False
63	142	False
64	143	False
65	144	False
66	145	False
67	146	False
68	147	False
69	148	False
70	149	False
71	150	False
72	151	False
73	152	False
74	153	False
75	154	False
76	155	False
77	156	False
78	157	False
79	158	False
80	159	False
81	160	False
82	161	False
83	162	False
84	163	False
85	164	False
86	165	False
87	166	False
88	167	False
89	168	False
90	169	False
91	170	False
92	171	False
93	172	False
94	173	False
95	174	False
96	175	False
97	176	False
98	177	False
99	178	False
100	179	False
101	180	False
102	181	False
103	182	False
104	183	False
105	184	False
106	185	False
107	186	False
108	187	False
109	188	False
110	189	False
111	190	False
112	191	False
113	192	False
114	193	False
115	194	False
116	195	False
117	196	False
118	197	False
119	198	False
120	199	False
121	200	False
122	201	False
123	202	False
124	203	False
125	204	False
126	205	False
127	206	False
128	207	False
129	208	False
130	209	False
131	210	False
132	211	False
133	212	False
134	213	False
135	214	False
136	215	False
137	216	False
138	217	False
139	218	False
140	219	False
141	220	False
142	221	False
143	222	False
144	223	False
145	224	False
146	225	False
147	226	False
148	227	False
149	228	False
150	229	False
151	230	False
152	231	False
153	232	False
154	233	False
155	234	False
156	235	False
157	236	False
158	237	False
159	238	False
160	239	False
161	240	False
162	241	False
163	242	False
164	243	False
165	244	False
166	245	False
167	246	False
168	247	False
169	248	False
170	249	False
171	250	False
172	251	False
173	252	False
174	253	False
175	254	False
176	255	False
177	256	False
178	257	False
179	258	False
180	259	False
181	260	False
182	261	False
183	262	False
184	263	False
185	264	False
186	265	False
187	266	False
188	267	False
189	268	False
190	269	False
191	270	False
192	271	False
193	272	False
194	273	False
195	274	False
196	275	False
197	276	False
198	277	False
199	278	False
200	279	False
201	280	False
202	281	False
203	282	False
204	283	False
205	284	False
206	285	False
207	286	False
208	287	False
209	288	False
210	289	False
211	290	False
212	291	False
213	292	False
214	293	False
215	294	False
216	295	False
217	296	False
218	297	False
219	298	False
220	299	False
221	300	False
222	301	False
223	302	False
224	303	False
225	304	False
226	305	False
227	306	False
228	307	False
229	308	False
230	309	False
231	310	False
232	311	False
233	312	False
234	313	False
235	314	False
236	315	False
237	316	False
238	317	False
239	318	False
240	319	False
241	320	False
242	321	False
243	322	False
244	323	False
245	324	False
246	325	False
247	326	False
248	327	False
249	328	False
250	329	False
251	330	False
252	331	False
253	332	False
254	333	False
255	334	False
256	335	False
257	336	False
258	337	False
259	338	False
260	339	False
261	340	False
262	341	False
263	342	False
264	343	False
265	344	False
266	345	False
267	346	False
268	347	False
269	348	False
270	349	False
271	350	False
272	351	False
273	352	False
274	353	False
275	354	False
276	355	False
277	356	False
278	357	False
279	358	False
280	359	False
281	360	False
282	361	False
283	362	False
284	363	False
285	364	False
286	365	False
287	366	False
288	367	False
289	368	False
290	369	False
291	370	False
292	371	False
293	372	False
294	373	False
295	374	False
296	375	False
297	376	False
298	377	False
299	378	False
300	379	False
301	380	False
302	381	False
303	382	False
304	383	False
305	384	False
306	385	False
307	386	False
308	387	False
309	388	False
310	389	False
311	390	False
312	391	False
313	392	False
314	393	False
315	394	False
316	395	False
317	396	False
318	397	False
319	398	False
320	399	False
321	400	False
322	401	False
323	402	False
324	403	False
325	404	False
326	405	False
327	406	False
328	407	False
329	408	False
330	409	False
331	410	False
332	411	False
333	412	False
334	413	False
335	414	False
336	415	False
337	416	False
338	417	False
339	418	False
340	419	False
341	420	False
342	421	False
343	422	False
344	423	False
345	424	False
346	425	False
347	426	False
348	427	False
349	428	False
350	429	False
351	430	False
352	431	False
353	432	False
354	433	False
355	434	False
356	435	False
357	436	False
358	437	False
359	438	False
360	439	False
361	440	False
362	441	False
363	442	False
364	443	False
365	444	False
366	445	False
367	446	False
368	447	False
369	448	False
370	449	False
371	450	False
372	451	False
373	452	False
374	453	False
375	454	False
376	455	False
377	456	False
378	457	False
379	458	False
380	459	False
381	460	False
382	461	False
383	462	False
384	463	False
385	464	False
386	465	False
387	466	False
388	467	False
389	468	False
390	469	False
391	470	False
392	471	False
393	472	False
394	473	False
395	474	False
396	475	False
397	476	False
398	477	False
399	478	False
400	479	False
401	480	False
402	481	False
403	482	False
404	483	False
405	484	False
406	485	False
407	486	False
408	487	False
409	488	False
410	489	False
411	490	False
412	491	False
413	492	False
414	493	False
415	494	False
416	495	False
417	496	False
418	497	False
419	498	False
420	499	False
421	500	False
422	501	False
423	502	False
424	503	False
425	504	False
426	505	False
427	506	False
428	507	False
429	508	False
430	509	False
431	510	False
432	511	False
433	512	False
434	513	False
435	514	False
436	515	False
437	516	False
438	517	False
439	518	False
440	519	False
441	520	False
442	521	False
443	522	False
444	523	False
445	524	False
446	525	False
447	526	False
448	527	False
449	528	False
450	529	False
451	530	False
452	531	False
453	532	False
454	533	False
455	534	False
456	535	False
457	536	False
458	537	False
459	538	False
460	539	False
461	540	False
462	541	False
463	542	False
464	543	False
465	544	False
466	545	False
467	546	False
468	547	False
469	548	False
470	549	False
471	550	False
472	551	False
473	552	False
474	553	False
475	554	False
476	555	False
477	556	False
478	557	False
479	558	False
480	559	False
481	560	False
482	561	False
483	562	False
484	563	False
485	564	False
486	565	False
487	566	False
488	567	False
489	568	False
490	569	False
491	570	False
492	571	False
493	572	False
494	573	False
495	574	False
496	575	False
497	576	False
498	577	False
499	578	False
500	579	False
501	580	False
502	581	False
503	582	False
504	583	False
505	584	False
506	585	False
507	586	False
508	587	False
509	588	False
510	589	False
511	590	False
512	591	False
513	592	False
514	593	False
515	594	False
516	595	False
517	596	False
518	597	False
519	598	False
520	599	False
