	Lan-Huh7	Lan-Vero	Lan-Vero-1	Lan-Vero-2	Manfredonia-vitro	Manfredonia	Huston	Sun	Sun-vitro
1		0.0	0.0	0.0					
2									
3									
4		0.00077	0.00154	0.0019					
5		0.01002	0.01802	0.01724					
6		0.01416	0.01522	0.02538	0.0			0.567	0.075
7							-0.228458	0.0	0.0
8							0.002349	0.004	0.075
9							-0.009397	0.019	0.096
10							-0.049627	0.07	0.321
11							0.022905	0.404	0.772
12		0.00881	0.01411	0.01591	0.019		-0.011452	0.356	0.834
13							-0.029952	0.333	0.152
14		0.00354	0.01015	0.00704	0.164		0.0185	0.0	0.003
15		0.00666	0.00255	0.01317	0.052		-0.083983	0.0	0.017
16		0.01207	0.00561	0.02349	0.243		0.00969	0.0	0.0
17							-0.953182	0.002	0.082
18							-0.016444	0.836	0.739
19		0.03527	0.02853	0.05169	0.065		-0.04023	0.785	0.856
20		0.05069	0.04484	0.08027	0.084		-0.000294	0.199	0.356
21		0.07074	0.05961	0.10916	0.417		0.445171	0.716	0.472
22		0.01418	0.01421	0.02092	0.158		-0.001175	0.052	0.21
23							0.448401	0.0	0.12
24							-0.001468	0.0	0.0
25							0.033182	0.0	0.0
26		0.01178	0.01021	0.01767	0.045		-0.015857	0.386	0.162
27		0.02423	0.02366	0.03323	0.097		-0.044341	0.951	0.341
28		0.02938	0.01376	0.04247	0.041		0.35414	1.0	0.924
29		0.01099	0.0083	0.01565	0.082	0.27	0.088388	0.195	0.275
30		0.00609	0.00388	0.00992	0.403	0.097	-0.039349	0.072	0.134
31		0.01049	0.01348	0.01236	0.521	0.357	0.00323	0.0	0.321
32		0.00879	0.00557	0.0121	0.132	0.107	0.029071	0.0	0.08
33		0.02009	0.00948	0.03028	0.196	0.0	0.202617	0.0	0.0
34		0.03723	0.03832	0.04105	0.722		-0.034357	0.862	0.312
35		0.04411	0.04521	0.04524	1.276	0.795	0.048158	0.282	0.642
36		0.07137	0.06901	0.07384	1.098	0.402	0.119808	0.137	0.114
37		0.05884	0.04205	0.06763	0.806	0.78	0.828969	0.75	0.236
38		0.02688	0.01446	0.02811	0.608	0.406	-0.019381	0.905	0.39
39		0.03683	0.02986	0.03472	0.819	1.508	0.045809	0.111	0.421
40		0.05595	0.04528	0.05904	0.699	1.24	0.027897	0.265	0.428
41						1.384	0.313323	0.592	0.387
42						1.123	0.624296	0.718	0.724
43						1.263	0.613138	0.076	0.138
44	0.03581	0.0633	0.05675	0.0623	0.734	0.434	1.297338	0.137	0.031
45						0.362	0.194689	0.026	0.092
46	0.00319	0.01232	0.01298	0.0134	0.374	0.247	-0.051682	0.003	0.032
47						0.0	-0.070182	0.001	0.109
48	0.0016	0.01319	0.01	0.01539	0.096	0.09	0.09338	0.009	0.073
49						0.02	0.042285	0.0	0.079
50	0.00581	0.02708	0.01634	0.03562	0.16	0.515	0.064603	0.009	0.063
51						2.049	1.421551	0.041	0.192
52						2.316	7.575538	0.14	0.065
53						0.471	0.619892	0.051	0.272
54						0.674	4.546263	0.25	0.545
55	0.00408	0.01152	0.00883	0.01229	0.181	0.159	-0.025254	0.001	0.062
56						0.122	0.169729	0.0	0.042
57	0.00257	0.0059	0.00903	0.01066	0.331	0.031	-0.050508	0.0	0.0
58						0.0	-0.022905	0.0	0.0
59	0.00186	0.0168	0.00808	0.01973	0.109	0.354	0.238736	0.056	0.006
60						0.071	2.526256	0.182	0.048
61						0.806	0.49098	0.019	0.024
62						0.493	0.00323	0.044	0.031
63						0.65	0.031127	0.036	0.051
64	0.00761	0.02778	0.01691	0.02997	0.188	1.358	0.196744	0.026	0.033
65						0.05	0.914714	0.013	0.07
66	0.04106	0.07543	0.05148	0.07172	0.744	0.938	0.27691	0.082	0.149
67						1.87	3.902586	0.179	0.054
68	0.02517	0.03241	0.02598	0.02697	0.548	0.652	0.004698	0.195	0.204
69	0.03258	0.04372	0.022	0.03583	0.885	0.608	-0.079285	0.161	0.402
70	0.03223	0.04358	0.03136	0.04243	1.311	2.531	0.036706	0.083	0.474
71	0.05407	0.07726	0.04733	0.06851	1.185	0.504	-0.096904	0.103	0.213
72						0.701	0.862151	0.062	0.112
73	0.00697	0.01084	0.00707	0.01255	0.41	0.333	-0.009984	0.067	0.115
74	0.00657	0.01399	0.01172	0.01035	0.32	0.252	0.031127	0.0	0.03
75	0.0119	0.02221	0.02079	0.02157	0.269	0.45	-0.82339	0.0	0.0
76						0.0	0.647788	0.257	0.108
77						1.863	-0.861858	0.276	0.236
78						5.203	-0.588765	0.38	0.456
79	0.0111	0.01229	0.01347	0.01389	0.285	1.309	-0.449282	0.623	0.679
80	0.01331	0.01821	0.01665	0.01911	0.4	2.247	-0.005286	0.693	0.834
81	0.03186	0.02554	0.03001	0.04455	0.858	0.628	-0.058436	0.254	0.329
82	0.02281	0.0178	0.01963	0.03052	1.084	3.507	0.446345	0.241	0.247
83						0.0	0.000294	0.037	0.021
84	0.00095	0.00934	0.01041	0.01402	0.077	0.088	-0.434306	0.0	0.009
85						0.0	-0.032008	0.0	0.0
86						0.056	-0.759668	0.004	0.024
87						0.0	0.024079	0.008	0.015
88						0.0	-0.197038	0.003	0.017
89						0.0	0.01204	0.001	0.032
90						0.058	0.149467	0.001	0.023
91						0.16	0.063722	0.0	0.0
92	0.03416	0.03552	0.04139	0.05347	0.967	0.0	0.09984	0.0	0.121
93						0.0	0.064896	0.0	0.107
94						0.089	0.045809	0.126	0.102
95						0.853	0.697415	0.876	0.917
96	0.00253	0.0132	0.01366	0.01909	0.092	0.0	0.170022	0.211	0.247
