first,last,agreement
26,109,0.7142857142857143
172,236,0.6153846153846154
217,277,0.7377049180327869
240,298,0.576271186440678
274,338,0.6153846153846154
5654,5708,0.7636363636363637
6387,6453,0.8507462686567164
9569,9623,0.6727272727272727
10465,10526,0.5
12154,12208,0.7090909090909091
12193,12254,0.8225806451612904
12269,12323,0.5454545454545454
12772,12827,0.4642857142857143
12886,12944,0.4915254237288136
12949,13010,0.7096774193548387
13348,13403,0.4642857142857143
13371,13436,0.3181818181818182
13439,13507,0.4492753623188406
13470,13529,0.48333333333333334
13656,13711,0.5892857142857143
13743,13798,0.8392857142857143
14631,14707,0.5974025974025974
14679,14737,0.8135593220338984
14731,14797,0.7164179104477612
14862,14920,0.6779661016949152
14973,15028,0.44642857142857145
15051,15118,0.5294117647058824
15105,15160,0.5714285714285714
15222,15277,0.42857142857142855
15331,15387,0.543859649122807
16411,16465,0.5454545454545454
16815,16870,0.8035714285714286
16998,17059,0.5645161290322581
17121,17176,0.5178571428571429
17511,17566,0.7857142857142857
17727,17785,0.7796610169491526
17838,17896,1.0
18177,18235,0.7627118644067796
19605,19659,0.4727272727272727
20094,20150,0.5614035087719298
25374,25429,1.0
25528,25582,0.5818181818181818
26172,26247,0.4342105263157895
26213,26281,0.6376811594202898
26250,26320,0.6197183098591549
26295,26350,0.5535714285714286
26313,26414,0.6078431372549019
26406,26461,0.5535714285714286
26446,26501,0.7857142857142857
26478,26534,0.543859649122807
26765,26820,0.7142857142857143
27014,27082,0.7101449275362319
27074,27131,0.5689655172413793
27146,27201,0.48214285714285715
27164,27232,0.7536231884057971
27367,27425,0.4067796610169492
27498,27553,0.6071428571428571
27752,27813,0.6129032258064516
27776,27838,0.6190476190476191
28251,28313,0.6031746031746031
28387,28442,0.6428571428571429
28494,28556,0.746031746031746
28654,28708,0.6545454545454545
28725,28814,0.6333333333333333
28852,28906,0.7090909090909091
28963,29017,0.8181818181818182
28990,29054,0.8461538461538461
29155,29216,0.9354838709677419
29209,29272,0.578125
29266,29325,0.75
29339,29414,0.6578947368421053
29524,29586,0.5714285714285714
29579,29650,0.5555555555555556
29633,29707,0.6666666666666666
29670,29727,0.5862068965517241
29690,29744,0.6
29714,29777,0.8125
29767,29877,0.5675675675675675
29852,29882,0.7419354838709677
