	0
1	268835.016
2	270978.15
3	273120.974
4	275262.614
5	277404.006
6	279536.742
7	281664.26
8	283757.31
9	285903.93
10	288033.71
11	290173.056
12	292308.454
13	294433.376
14	296552.556
15	298672.332
16	300785.962
17	302893.818
18	305001.314
19	307093.164
20	309170.866
21	311239.64
22	313307.48
23	315369.89
24	317424.55
25	319480.868
26	321526.558
27	323558.644
28	325561.082
29	327534.308
30	329492.364
31	331437.304
32	333358.902
33	335254.366
34	337123.61
35	338970.342
36	340809.254
37	342646.894
38	344487.306
39	346331.778
40	348172.568
41	350016.568
42	351866.212
43	353705.854
44	355535.924
45	357359.304
46	359172.994
47	360967.992
48	362773.836
49	364590.868
50	366425.606
51	368271.752
52	370144.852
53	372058.576
54	373972.902
55	375889.058
56	377790.376
57	379675.144
58	381533.828
59	383365.434
60	385157.4
61	386979.166
62	388811.724
63	390655.03
64	392491.266
65	394327.588
66	396188.85
67	398036.492
68	399879.968
69	401709.874
70	403529.188
71	405334.504
72	407128.438
73	408910.36
74	410683.014
75	412454.338
76	414226.064
77	415993.234
78	417754.34
79	419506.198
80	421268.842
81	423020.938
82	424757.76
83	426478.204
84	428186.036
85	429886.746
86	431574.336
87	433262.708
88	434945.606
89	436623.264
90	438305.31
91	439989.25
92	441663.454
93	443334.484
94	444993.404
95	446646.906
96	448303.098
97	449949.422
98	451597.336
99	453253.156
100	454906.878
101	456584.888
102	458258.768
103	459935.086
104	461601.706
105	463265.704
106	464925.742
107	466580.358
108	468234.756
109	469884.484
110	471519.91
111	473159.802
112	474792.298
113	476425.794
114	478055.338
115	479690.72
116	481314.016
117	482934.464
118	484547.58
119	486148.836
120	487738.338
121	489320.856
122	490907.282
123	492488.622
124	494082.092
125	495672.25
126	497253.978
127	498832.726
128	500406.388
129	501972.116
130	503538.376
131	505101.554
132	506662.194
133	508224.3
134	509806.638
135	511385.066
136	512969.516
137	514554.316
138	516136.592
139	517717.016
140	519278.126
141	520835.932
142	522392.716
143	523951.698
144	525506.798
145	527060.996
146	528608.482
147	530157.68
148	531741.644
149	533344.628
150	535015.562
151	536747.602
152	538463.796
153	540225.826
154	541985.836
155	543709.406
156	545502.188
157	547320.21
158	549160.984
159	551005.59
160	552856.92
161	554697.316
162	556531.182
163	558362.592
164	560191.18
165	562020.144
166	563835.014
167	565639.924
168	567436.046
169	569217.59
170	570981.058
171	572739.132
172	574487.422
173	576216.57
174	577904.818
175	579578.268
176	581266.65
177	582954.686
178	584633.612
179	586313.316
180	587994.318
181	589677.332
182	591364.366
183	593046.814
184	594722.744
185	596390.048
186	598040.326
187	599713.562
188	601408.906
189	603127.51
190	604880.308
191	606638.502
192	608392.382
193	610138.638
194	611862.944
195	613583.818
196	615306.33
197	617027.516
198	618738.044
199	620436.076
200	622124.372
201	623802.534
202	625474.266
203	627136.666
204	628790.66
205	630444.606
206	632091.262
207	633730.974
208	635361.644
209	636978.956
210	638593.096
211	640217.414
212	641850.118
213	643489.508
214	645129.158
215	646751.454
216	648295.334
217	649817.178
218	651333.272
219	652846.696
220	654364.982
221	655874.342
222	657378.944
223	658874.85
224	660369.102
225	661859.628
226	663342.96
227	664822.15
228	666301.458
229	667771.642
230	669219.83
231	670697.946
232	672207.308
233	673740.698
234	675274.482
235	676806.618
236	678336.432
237	679861.716
238	681371.806
239	682877.374
240	684381.358
241	685888.044
242	687389.244
243	688887.716
244	690380.75
245	691871.146
246	693352.978
247	694826.84
248	696308.3
249	697790.926
250	699264.78
251	700734.956
252	702131.066
253	703511.642
254	704892.178
255	706257.756
256	707598.856
257	708921.34
258	710258.286
259	711614.306
260	712964.85
261	714306.494
262	715649.174
263	716983.684
264	718313.724
265	719652.038
266	720985.93
267	722312.976
268	723643.69
269	724990.662
270	726360.55
271	727726.678
272	729090.112
273	730448.434
274	731804.438
275	733152.932
276	734493.604
277	735827.03
278	737134.562
279	738420.948
280	739692.81
281	740951.638
282	742201.088
283	743429.792
284	744663.026
285	745882.788
286	747085.502
287	748261.922
288	749387.616
289	750525.372
290	751657.464
291	752796.266
292	753921.076
293	755034.284
294	756128.814
295	757236.244
296	758343.546
297	759451.082
298	760548.764
299	761640.004
300	762736.14
301	763823.766
302	764902.94
303	765972.704
304	767059.788
305	768138.852
306	769210.5
307	770281.534
308	771335.638
309	772380.454
310	773420.702
311	774448.96
312	775475.22
313	776504.448
314	777515.502
315	778550.214
316	779585.358
317	780609.566
318	781615.282
319	782606.11
320	783569.054
321	784508.754
322	785428.506
323	786336.116
324	787240.42
325	788112.212
326	788974.996
327	789825.87
328	790672.152
329	791508.518
330	792345.098
331	793153.168
332	793945.488
333	794684.28
334	795391.04
335	796094.824
336	796803.678
337	797507.448
338	798202.086
339	798900.248
340	799588.482
341	800270.472
342	800944.676
343	801601.592
344	802238.956
345	802919.528
346	803637.844
347	804348.992
348	805040.156
349	805717.66
350	806399.114
351	807072.448
352	807742.01
353	808398.448
354	809048.482
355	809702.728
356	810364.37
357	811019.908
358	811658.55
359	812269.248
360	812872.724
361	813467.45
362	814054.97
363	814630.12
364	815191.08
365	815744.436
366	816290.592
367	816833.764
368	817371.852
369	817904.504
370	818431.612
371	818951.676
372	819468.822
373	819975.662
374	820471.392
375	820972.66
376	821471.69
377	821964.59
378	822450.314
379	822930.222
380	823401.086
381	823813.818
382	824220.478
383	824548.636
384	824818.556
385	825084.862
386	825337.806
387	825530.278
388	825667.736
389	825792.844
390	825848.568
391	825808.34
392	825697.662
393	825560.442
394	825320.946
395	825011.126
396	824689.69
397	824342.726
398	823948.282
399	823547.046
400	823163.902
401	822758.984
402	822356.982
403	821955.358
404	821492.888
405	821020.71
406	820539.382
407	820048.46
408	819535.278
409	819011.604
410	818477.67
411	817941.904
412	817393.42
413	816824.086
414	816211.024
415	815584.54
416	814954.902
417	814290.972
418	813621.11
419	812949.278
420	812259.06
421	811515.69
422	810729.274
423	809938.354
424	809156.602
425	808363.63
426	807557.408
427	806743.646
428	805915.8
429	805071.454
430	804199.568
431	803314.578
432	802420.718
433	801554.192
434	800677.93
435	799828.494
436	798971.992
437	798125.91
438	797205.206
439	796267.464
440	795327.398
441	794377.598
442	793424.782
443	792499.586
444	791569.672
445	790639.824
446	789701.186
447	788763.908
448	787824.804
449	786880.852
450	785935.826
451	784984.296
452	783965.662
453	782927.854
454	781880.042
455	780806.13
456	779718.91
457	778631.456
458	777538.702
459	776442.278
460	775344.366
461	774242.99
462	773128.696
463	772007.144
464	770883.986
465	769761.61
466	768645.954
467	767521.258
468	766397.778
469	765271.936
470	764139.33
471	762998.168
472	761818.832
473	760643.392
474	759424.722
475	758137.046
476	756843.026
477	755549.3
478	754259.234
479	752967.878
480	751686.66
481	750396.674
482	749109.338
483	747822.426
484	746563.566
485	745316.08
486	744062.724
487	742791.526
488	741510.226
489	740226.492
490	738939.284
491	737660.462
492	736380.592
493	735122.446
494	733863.932
495	732637.984
496	731426.614
497	730234.422
498	729046.44
499	727864.302
500	726682.702
501	725505.754
502	724347.984
503	723196.234
504	722051.724
505	720908.372
506	719764.712
507	718648.59
508	717583.42
509	716481.568
510	715402.824
511	714318.092
512	713231.184
513	712152.194
514	711078.978
515	710000.344
516	708932.798
517	707865.382
518	706797.666
519	705746.428
520	704702.792
521	703667.342
522	702629.942
523	701596.732
524	700571.556
525	699543.584
526	698523.374
527	697514.994
528	696534.878
529	695582.348
530	694638.598
531	693707.974
532	692811.818
533	691951.636
534	691115.512
535	690295.86
536	689490.782
537	688696.286
538	687897.296
539	687102.012
540	686312.178
541	685521.05
542	684719.686
543	683925.242
544	683144.036
545	682371.076
546	681604.864
547	680860.028
548	680089.056
549	679351.266
550	678599.346
551	677824.2
552	677023.068
553	676180.99
554	675340.512
555	674496.38
556	673662.554
557	672836.512
558	672036.762
559	671262.496
560	670532.708
561	669773.658
562	669021.134
563	668257.42
564	667502.88
565	666743.858
566	665952.866
567	665148.448
568	664349.552
569	663561.952
570	662786.172
571	662028.376
572	661279.366
573	660543.918
574	659816.776
575	659090.33
576	658366.198
577	657667.658
578	656973.868
579	656301.758
580	655616.49
581	654963.498
582	654339.28
583	653758.426
584	653201.826
585	652651.806
586	652115.08
587	651578.898
588	651044.484
589	650513.208
590	649967.256
591	649417.13
592	648874.29
593	648330.94
594	647796.668
595	647267.678
596	646726.952
597	646186.856
598	645653.48
599	645106.644
600	644555.692
601	643978.75
602	643401.64
603	642816.738
604	642244.372
605	641673.02
606	641104.73
607	640540.634
608	639976.778
609	639418.254
610	638874.716
611	638321.524
612	637776.06
613	637229.57
614	636684.294
615	636124.46
616	635575.482
617	635028.86
618	634496.558
619	633984.55
620	633482.29
621	633007.988
622	632531.676
623	632058.876
624	631576.326
625	631104.132
626	630633.102
627	630160.06
628	629696.844
629	629236.19
630	628767.646
631	628298.786
632	627830.586
633	627361.724
634	626872.874
635	626399.454
636	625921.958
637	625438.708
638	624943.622
639	624422.66
640	623914.498
641	623406.074
642	622895.82
643	622383.85
644	621864.828
645	621370.83
646	620891.458
647	620397.114
648	619875.118
649	619331.484
650	618710.388
651	618023.238
652	617361.628
653	616657.232
654	615948.588
655	615276.698
656	614538.456
657	613779.356
658	612999.604
659	612215.842
660	611420.146
661	610632.874
662	609850.798
663	609056.936
664	608258.466
665	607453.886
666	606659.532
667	605894.924
668	605142.388
669	604411.204
670	603768.292
671	603154.188
672	602550.688
673	601960.366
674	601411.248
675	600874.166
676	600322.782
677	599781.302
678	599243.738
679	598693.224
680	598143.494
681	597632.98
682	597115.384
683	596595.624
684	596083.97
685	595584.476
686	595106.144
687	594610.296
688	594097.906
689	593560.708
690	593000.578
691	592448.244
692	591897.79
693	591354.906
694	590830.904
695	590304.318
696	589770.97
697	589228.158
698	588682.594
699	588105.342
700	587532.918
701	586987.836
702	586444.622
703	586123.378
704	585811.3
705	585487.34
706	585172.97
707	584858.126
708	584541.506
709	584239.05
710	583935.818
711	583620.008
712	583291.872
713	582954.824
714	582622.114
715	582324.336
716	582111.382
717	581924.14
718	581756.242
719	581572.67
720	581378.178
721	581184.98
722	580996.682
723	580816.634
724	580640.724
725	580467.344
726	580303.982
727	580150.96
728	580026.344
729	579933.13
730	579860.958
731	579756.41
732	579619.768
733	579455.06
734	579285.708
735	579114.134
736	578942.516
737	578771.048
738	578613.766
739	578472.106
740	578336.22
741	578198.574
742	578058.09
743	577917.608
744	577763.104
745	577640.262
746	577533.71
747	577436.728
748	577329.842
749	577217.824
750	577110.192
751	577004.966
752	576898.43
753	576786.308
754	576693.14
755	576613.45
756	576561.418
757	576522.766
758	576468.078
759	576396.338
760	576327.476
761	576259.444
762	576190.212
763	576143.676
764	576087.59
765	576024.972
766	575987.812
767	575975.518
768	575959.102
769	575918.438
770	575855.444
771	575789.376
772	575723.19
773	575658.488
774	575594.922
775	575537.874
776	575487.686
777	575434.824
778	575402.008
779	575387.13
780	575378.078
781	575365.634
782	575342.44
783	575325.232
784	575314.006
785	575349.034
786	575433.292
787	575490.194
788	575583.85
789	575666.616
790	575750.114
791	575828.796
792	575907.494
793	575983.52
794	576069.126
795	576134.272
796	576185.16
797	576242.038
798	576296.552
799	576362.436
800	576423.418
801	576481.892
802	576557.788
803	576648.122
804	576719.466
805	576782.88
806	576836.38
807	576844.936
808	576864.57
809	576882.634
810	576901.196
811	576921.286
812	576940.004
813	576953.222
814	576977.09
815	576969.968
816	576966.49
817	576979.178
818	576982.152
819	576993.982
820	577009.066
821	577020.66
822	577020.812
823	577041.606
824	577064.884
825	577091.13
826	577113.798
827	577130.282
828	577140.954
829	577153.94
830	577167.134
831	577201.044
832	577260.472
833	577334.982
834	577404.408
835	577468.136
836	577518.372
837	577572.018
838	577633.686
839	577712.726
840	577797.584
841	577886.244
842	577969.044
843	578057.662
844	578153.828
845	578200.124
846	578203.072
847	578203.986
848	578221.016
849	578252.214
850	578286.018
851	578310.292
852	578321.096
853	578319.03
854	578306.824
855	578288.596
856	578246.686
857	578218.35
858	578194.744
859	578162.144
860	578128.066
861	578090.786
862	578052.952
863	578018.432
864	578004.91
865	577989.584
866	577945.214
867	577914.054
868	577881.988
869	577845.394
870	577803.614
871	577765.91
872	577726.992
873	577680.656
874	577623.192
875	577571.354
876	577514.88
877	577462.17
878	577411.134
879	577352.756
880	577294.186
881	577234.406
882	577171.378
883	577118.784
884	577066.934
885	577015.786
886	576972.71
887	576920.268
888	576890.06
889	576880.484
890	576884.206
891	576906.3
892	576956.142
893	577004.12
894	577051.166
895	577100.594
896	577145.964
897	577193.106
898	577244.56
899	577276.196
900	577287.448
901	577306.412
902	577308.952
903	577299.888
904	577322.098
905	577344.296
906	577388.5
907	577415.632
908	577450.512
909	577487.442
910	577522.552
911	577556.848
912	577597.318
913	577645.66
914	577700.018
915	577764.454
916	577839.318
917	577936.818
918	578033.246
919	578128.682
920	578248.768
921	578366.818
922	578498.092
923	578623.976
924	578718.174
925	578814.852
926	578910.07
927	579008.424
928	579122.132
929	579244.082
930	579361.968
931	579479.956
932	579602.538
933	579685.338
934	579763.26
935	579797.344
936	579824.534
937	579829.482
938	579889.378
939	579941.02
940	579989.384
941	580041.286
942	580105.762
943	580142.32
944	580197.328
945	580283.158
946	580413.5
947	580532.326
948	580647.068
949	580785.758
950	580932.896
951	581075.912
952	581280.986
953	581493.75
954	581722.332
955	581970.978
956	582226.726
957	582486.658
958	582760.496
959	583051.094
960	583356.934
961	583663.166
962	583971.356
963	584277.374
964	584593.506
965	584906.962
966	585219.892
967	585538.77
968	585854.738
969	586170.476
970	586503.594
971	586865.026
972	587230.416
973	587593.758
974	587957.248
975	588321.0
976	588683.404
977	589042.42
978	589394.628
979	589742.272
980	590079.274
981	590416.048
982	590748.764
983	591078.162
984	591366.926
985	591649.794
986	591920.074
987	592184.52
988	592449.886
989	592706.03
990	592971.382
991	593261.55
992	593558.89
993	593839.466
994	594124.394
995	594385.088
996	594635.07
997	594878.036
998	595120.786
999	595362.434
1000	595618.362
1001	595899.974
1002	596188.24
1003	596468.28
1004	596739.338
1005	596991.324
1006	597255.072
