		Lan-Huh7	Lan-Huh7	Lan-Vero
		Lan-Vero	Manfredonia-vitro	Manfredonia-vitro
1	80			0.55319667
2	81			0.55240107
3	82	0.8150376	0.8300752	0.5371388
4	83	0.8150376	0.8300752	0.5371388
5	84	0.8363636	0.85324675	0.54848486
6	85	0.8363636	0.85324675	0.54848486
7	86	0.8363636	0.85324675	0.5541931
8	87	0.8363636	0.85324675	0.5541931
9	88	0.8363636	0.85324675	0.5541931
10	89	0.8363636	0.85324675	0.5541931
11	90	0.8363636	0.85324675	0.5541931
12	91	0.8363636	0.85324675	0.5541931
13	92	0.8543196	0.8509317	0.5488372
14	93	0.8543196	0.8509317	0.5488372
15	94	0.8543196	0.8509317	0.54922986
16	95	0.8543196	0.8509317	0.5282392
17	96	0.83992094	0.8666008	0.53277695
18	97	0.84086955	0.8652174	0.5229538
19	98	0.8515385	0.88	0.5365751
20	99	0.8515385	0.88	0.5690124
21	100	0.8557265	0.8917764	0.63646317
22	101	0.8557265	0.8917764	0.63530654
23	102	0.8557265	0.8917764	0.63800687
24	103	0.8632479	0.90215236	0.64705646
25	104	0.8632479	0.90215236	0.64705646
26	105	0.8632479	0.90215236	0.64705646
27	106	0.8757526	0.9111811	0.667558
28	107	0.8817734	0.9052839	0.69138205
29	108	0.8817734	0.9052839	0.72895163
30	109	0.8817734	0.9052839	0.72526854
31	110	0.87808675	0.9108911	0.7480651
32	111	0.87808675	0.9108911	0.76481605
33	112	0.87808675	0.9108911	0.76128465
34	113	0.8701613	0.91400343	0.7714614
35	114	0.8701613	0.91400343	0.7665224
36	115	0.8701613	0.91400343	0.7609241
37	116	0.8701613	0.91400343	0.74543035
38	117	0.8409862	0.9193401	0.72792214
39	118	0.82827777	0.9174327	0.704251
40	119	0.83214915	0.9150367	0.6919252
41	120	0.83214915	0.9150367	0.67827946
42	121	0.7817074	0.92127746	0.6337979
43	122	0.7924577	0.89934355	0.6071176
44	123	0.7776658	0.9014819	0.59794915
45	124	0.7591222	0.90050197	0.5768711
46	125	0.7381898	0.9071725	0.56321496
47	126	0.733685	0.9078838	0.58656865
48	127	0.733685	0.9078838	0.58656865
49	128	0.74620336	0.90803784	0.59167254
50	129	0.7467994	0.9149428	0.5960524
51	130	0.7482625	0.9182058	0.6181865
52	131	0.75557137	0.92335963	0.6278229
53	132	0.76146185	0.9273951	0.6359906
54	133	0.76146185	0.9273951	0.6359906
55	134	0.76146185	0.9273951	0.6359906
56	135	0.7680271	0.93341357	0.6464956
57	136	0.78319836	0.9347639	0.6640012
58	137	0.7958201	0.9377907	0.6908136
59	138	0.8111336	0.9349663	0.7036793
60	139	0.83319837	0.92828584	0.71592695
61	140	0.8446529	0.9119565	0.7138234
62	141	0.8446529	0.9119565	0.7138234
63	142	0.8520906	0.9130189	0.7223311
64	143	0.85625154	0.9143876	0.7271991
65	144	0.8602787	0.91432554	0.7451544
66	145	0.8602787	0.91432554	0.7451544
67	146	0.8573171	0.91937804	0.74837756
68	147	0.86710966	0.89048254	0.7289818
69	148	0.86045295	0.8916765	0.7265125
70	149	0.85159475	0.89647734	0.7191707
71	150	0.84149796	0.9008553	0.70732325
72	151	0.82004046	0.90403885	0.68660796
73	152	0.82004046	0.90403885	0.68660796
74	153	0.82777107	0.90299284	0.69880176
75	154	0.8281176	0.8958568	0.69100827
76	155	0.8254826	0.89001864	0.6915503
77	156	0.8288288	0.8806828	0.6857922
78	157	0.8225189	0.8854845	0.69092304
79	158	0.80728745	0.8904297	0.68373907
80	159	0.81354636	0.88373363	0.6798709
81	160	0.80844	0.87973446	0.6721593
82	161	0.8089142	0.8773635	0.6806947
83	162	0.8162636	0.87712646	0.7188667
84	163	0.8082941	0.8710401	0.70438254
85	164	0.8026042	0.86469334	0.6990206
86	165	0.8026042	0.86469334	0.6990206
87	166	0.7894737	0.86471987	0.6867756
88	167	0.7894737	0.86471987	0.6867756
89	168	0.7894737	0.86471987	0.6867756
90	169	0.8001876	0.8652376	0.6946855
91	170	0.8050523	0.8626682	0.6924518
92	171	0.8063366	0.8714396	0.69851303
93	172	0.7963415	0.87277323	0.6905353
94	173	0.78850985	0.8761395	0.6881407
95	174	0.78850985	0.8761395	0.6881407
96	175	0.78850985	0.8761395	0.6881407
97	176	0.7859487	0.8876418	0.6881407
98	177	0.80456465	0.8851381	0.7029052
99	178	0.7996864	0.8823504	0.69593626
100	179	0.7996864	0.8823504	0.69593626
101	180	0.7831352	0.8874902	0.696546
102	181	0.7831352	0.8874902	0.696546
103	182	0.7831352	0.8874902	0.696546
104	183	0.7773519	0.8872338	0.6920162
105	184	0.7773519	0.8872338	0.6920162
106	185	0.7773519	0.8872338	0.6920162
107	186	0.7773519	0.8872338	0.6920162
108	187	0.77700347	0.88409775	0.68922865
109	188	0.77700347	0.88409775	0.68922865
110	189	0.77700347	0.88409775	0.68922865
111	190	0.7865854	0.8853173	0.69881094
112	191	0.7865854	0.8853173	0.69881094
113	192	0.7865854	0.8853173	0.69881094
114	193	0.797561	0.8910184	0.7127799
115	194	0.797561	0.8910184	0.7127799
116	195	0.797561	0.8910184	0.7127799
117	196	0.7742484	0.89230144	0.6968396
118	197	0.78850985	0.89679486	0.7069168
119	198	0.81010455	0.89480335	0.7265758
120	199	0.7998124	0.8906507	0.71867526
121	200	0.7998124	0.8906507	0.71867526
122	201	0.8291498	0.88545835	0.7480893
123	202	0.837619	0.88842684	0.7692476
124	203	0.8546887	0.8777018	0.7772367
