		Lan-Vero	Lan-Huh7
1	80		
2	81		
3	82		
4	83		
5	84		
6	85		
7	86		
8	87		
9	88		
10	89		
11	90		
12	91		
13	92		
14	93		
15	94		
16	95		
17	96		
18	97		
19	98		
20	99		
21	100		
22	101		
23	102		
24	103		
25	104		
26	105		
27	106		
28	107		
29	108		
30	109		
31	110		
32	111		
33	112		
34	113		
35	114		
36	115		
37	116		
38	117		
39	118		
40	119		
41	120		
42	121		
43	122		
44	123		
45	124		
46	125		
47	126		
48	127		
49	128		
50	129		
51	130		
52	131		
53	132		
54	133		
55	134		
56	135		
57	136		
58	137		
59	138		
60	139		
61	140		
62	141		
63	142		
64	143		
65	144		
66	145		
67	146		
68	147		
69	148		
70	149		
71	150		
72	151		
73	152		
74	153		
75	154		
76	155		
77	156		
78	157		
79	158		
80	159		
81	160		
82	161		
83	162		
84	163		
85	164		
86	165		
87	166		
88	167		
89	168		
90	169		
91	170		
92	171		
93	172		
94	173		
95	174		
96	175		
97	176	0.18826747004237987	
98	177	0.18826747004237987	
99	178	0.23926471021667012	
100	179	0.23926471021667012	
101	180	0.18826747004237987	
102	181	0.18826747004237987	
103	182	0.18826747004237987	
104	183	0.19743154640797403	
105	184	0.19743154640797403	
106	185	0.19743154640797403	
107	186	0.16735088813803184	
108	187	0.19743154640797403	
109	188	0.19743154640797403	
110	189	0.19743154640797403	
111	190	0.16735088813803184	
112	191	0.16735088813803184	
113	192	0.16735088813803184	
114	193	0.13727022986808962	
115	194	0.13727022986808962	
116	195	0.13727022986808962	
117	196	0.11028223610354325	
118	197	0.08329424233899688	
119	198	0.08329424233899688	
120	199	0.08329424233899688	
121	200	0.08329424233899688	
122	201	0.08329424233899688	
123	202	0.08329424233899688	
124	203	0.11028223610354325	
125	204	0.11028223610354325	
126	205	0.11028223610354325	
127	206	0.09532301304513963	
128	207	0.09515173425705652	
129	208	0.09515173425705652	
130	209	0.09515173425705652	
131	210	0.09515173425705652	
132	211	0.09515173425705652	
133	212	0.09515173425705652	
134	213	0.09515173425705652	
135	214	0.09498045546897341	
136	215	0.08913734890398514	
137	216	0.08913734890398514	
138	217	0.08329424233899688	
139	218	0.08913734890398514	
140	219	0.08913734890398514	
141	220	0.09498045546897341	
142	221	0.09498045546897341	
143	222	0.09515173425705652	
144	223	0.09532301304513963	
145	224	0.09532301304513963	
146	225	0.09515173425705652	
147	226	0.09532301304513963	
148	227	0.09532301304513963	
149	228	0.11472028597887568	
150	229	0.13411755891261173	
151	230	0.11472028597887568	
152	231	0.13411755891261173	
153	232	0.13411755891261173	
154	233	0.13569389439035068	
155	234	0.13569389439035068	
156	235	0.13727022986808962	
157	236	0.13727022986808962	
158	237	0.13727022986808962	
159	238	0.13727022986808962	
160	239	0.13727022986808962	
161	240	0.13727022986808962	
162	241	0.14863801480801586	
163	242	0.14295412233805274	
164	243	0.14863801480801586	
165	244	0.13727022986808962	
166	245	0.14295412233805274	
167	246	0.13727022986808962	
168	247	0.13727022986808962	
169	248	0.13727022986808962	
170	249	0.14295412233805274	
171	250	0.13727022986808962	
172	251	0.1413777868603138	
173	252	0.1413777868603138	
174	253	0.11745419933706487	
175	254	0.10079083976151801	
176	255	0.11745419933706487	
177	256	0.13411755891261173	
178	257	0.1237947464336426	
179	258	0.10713138685809574	
180	259	0.11347193395467348	
181	260	0.1237947464336426	
182	261	0.1237947464336426	
183	262	0.1237947464336426	
184	263	0.10713138685809574	
185	264	0.10079083976151801	
186	265	0.10079083976151801	
187	266	0.10079083976151801	
188	267	0.09995739608517197	
189	268	0.09995739608517197	
190	269	0.09995739608517197	
191	270	0.10713138685809574	
192	271	0.10713138685809574	
193	272	0.10079083976151801	
194	273	0.10713138685809574	
195	274	0.10079083976151801	
196	275	0.10713138685809574	
197	276	0.11347193395467348	
198	277	0.1237947464336426	
199	278	0.1237947464336426	
200	279	0.1237947464336426	
201	280	0.11347193395467348	
202	281	0.1237947464336426	
203	282	0.13411755891261173	
204	283	0.1237947464336426	
205	284	0.1237947464336426	
206	285	0.1237947464336426	
207	286	0.13411755891261173	
208	287	0.1413777868603138	
209	288	0.1413777868603138	
210	289	0.13411755891261173	
211	290	0.1237947464336426	
212	291	0.11347193395467348	
213	292	0.10713138685809574	
214	293	0.10713138685809574	
215	294	0.10713138685809574	
216	295	0.11347193395467348	
217	296	0.1237947464336426	
218	297	0.1237947464336426	
219	298	0.1237947464336426	
220	299	0.13411755891261173	
221	300	0.15410190778121796	
222	301	0.1555991406230239	
223	302	0.1555991406230239	
224	303	0.13378692086794572	
225	304	0.11347193395467348	
226	305	0.13378692086794572	
227	306	0.11347193395467348	
228	307	0.10911122707945388	
229	308	0.10911122707945388	
