	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	9318175
43	9355625
44	9534753
45	9383717
46	9353301
47	9466852
48	9498274
49	9488850
50	9522504
51	9369178
52	9377905
53	9393606
54	9446442
55	9582405
56	9470814
57	9506552
58	9517266
59	9512668
60	9331274
61	9319113
62	9388476
63	9512585
64	9479073
65	9574194
66	9530526
67	9465276
68	9477735
69	9470002
70	9403039
71	9479702
72	9352108
73	8921058
74	9034662
75	9553421
76	9398320
77	9302223
78	9473547
79	9434695
80	9589903
81	9604354
82	9551709
83	9473844
84	9483451
85	9430959
86	9202233
87	9352228
88	9328152
89	9376521
90	9315299
91	9271630
92	9474177
93	9537127
94	9357619
95	9480819
96	9587211
97	9139736
98	9581709
99	9472822
100	9578722
101	9574340
102	9586216
103	9658868
104	9650473
105	9637076
106	9659108
107	9675251
108	9671939
109	9628938
110	9664782
111	9665743
112	9677749
113	9694155
114	9678610
115	9642818
116	9658145
117	9647372
118	9635059
119	9677185
120	9680529
121	9655575
122	9639021
123	9643818
124	9570807
125	9641601
126	9676983
127	9666945
128	9678167
129	9664747
130	9664461
131	9595881
132	9676623
133	9670795
134	9626501
135	9559316
136	9645281
137	9647320
138	9556614
139	9607628
140	9633300
141	9666785
142	9645151
143	9673762
144	9675429
145	9663001
146	9669717
147	9660184
148	9677619
149	9668166
150	9636789
151	9657417
152	9656003
153	9598314
154	9655567
155	9664606
156	9636959
157	9660498
158	9688845
159	9650083
160	9651209
161	9672633
162	9645069
163	9634050
164	9664193
165	9526771
166	9546807
167	9623804
168	9569544
169	9492999
170	9399743
171	9437851
172	9586813
173	9472718
174	9577718
175	9294810
176	9504185
177	9563571
178	9550798
179	9477963
180	9540548
181	9590944
182	9486937
183	9496403
184	9581136
185	9589118
186	9468537
187	9462778
188	9581373
189	9560647
190	9452505
191	9251606
192	9588419
193	9486638
194	9499125
195	9615935
196	9513866
197	9457286
198	9471887
199	9590981
200	8954728
