		∆DMS	PCC	AUROC
630	801	0.10238677338079623	0.6648229616350444	0.9597277368122519
1036	1201	0.0990866530063646	0.689178729464871	0.9431306306306306
1431	1598	0.07960164008280936	0.6630321568204351	0.9705357142857143
2049	2222	0.13714496192164344	0.6343422898739528	0.9518259518259519
2454	2620	0.15658355978980845	0.573402569991978	0.9658914728682171
2648	2779	0.17722441903963218	0.7583102284364963	0.947209653092006
2856	3009	0.10606259055131194	0.7956180718209492	0.9696969696969697
3450	3614	0.1131439336737657	0.6226835479110826	0.996704021094265
3635	3805	0.22540948149987516	0.37404091343318385	0.875
4081	4208	0.1051588915168836	0.6478386209992769	0.8977272727272727
4231	4418	0.17318771385808915	0.48918531259841064	0.9210179903466432
4652	4779	0.12609563954172776	0.7204626029559965	0.9561965811965812
5053	5202	0.1231196521895589	0.7438614206513289	0.95703125
5465	5610	0.1337629652125884	0.5976826273094639	0.9928571428571429
5637	5806	0.2176363186841275	0.2628486326710532	0.9493414387031408
6040	6212	0.0997846363175807	0.6328767405569758	0.931306990881459
6437	6617	0.14211793995533256	0.7125618932749468	0.9155124653739612
7033	7219	0.09855944222949592	0.38612043530278184	0.9386904761904762
7438	7610	0.14401056615891206	0.5306769257867759	0.9003584229390681
8270	8386	0.20564496961102446	0.2529702175109529	0.9072681704260652
8831	8999	0.10446880979006716	0.6656061263790873	0.9548678272082527
9242	9407	0.1486989522902166	0.5098843283675218	0.8915054667788057
9870	10017	0.19044342515547216	0.602036473942824	0.9838235294117647
10446	10616	0.21890578326587462	0.3255511012770965	0.920265780730897
10631	10810	0.18962604227538557	0.4828139744514934	0.9766666666666667
10832	11005	0.08350177531741515	0.6202944729500659	0.9576167076167076
11249	11375	0.11728405744189954	0.6949096009670657	0.96875
11656	11804	0.1604534071366075	0.5982765815415845	0.975187969924812
11830	12018	0.2016898558243179	0.4654624114152664	0.90995670995671
12048	12217	0.20644038566075223	0.339143575016257	0.9389090909090909
12442	12609	0.09521758780269962	0.5608178136870763	0.9358796296296297
12842	13022	0.19484336531224847	0.47265226258355414	0.9387755102040817
13247	13423	0.12517021282546675	0.6603808183375794	0.9355742296918768
13434	13601	0.15897467588203923	0.5255008152628767	0.8372093023255813
13832	14003	0.0998578580083317	0.71026285892811	0.9691027926322044
14033	14181	0.14064440163208958	0.7663499199935023	0.9885057471264368
14234	14401	0.15907294493880797	0.2979987519220477	0.9330514446793516
14667	14763	0.22577211236275385	0.4266103505319774	0.954248366013072
14901	15002	0.15085437023778694	0.5444812290280622	0.9392592592592592
15239	15407	0.1363573852021659	0.715127906606372	0.9802631578947368
15445	15597	0.18367946500341498	0.5480695083130573	0.943939393939394
16031	16212	0.15026942409611554	0.6640055801164654	0.9720528455284553
16233	16408	0.12986510596483133	0.6883560265854091	0.8888888888888888
16440	16609	0.13934409887575783	0.08028485132484178	0.9169896640826873
16660	16764	0.25117269669322967	0.14618964764912634	0.8979591836734694
17058	17179	0.056387023840109844	0.6604432050641197	0.9923076923076923
17268	17411	0.23141479644703086	0.5009277820347658	0.9584438549955792
17652	17818	0.1940757581214254	0.5801138793482329	0.9527511961722488
18467	18596	0.13899913745523504	0.6357952095455939	0.9322344322344323
18638	18800	0.17808146938282715	0.39518412264788527	0.8932748538011696
19047	19213	0.2277719474418595	0.11118703447934092	0.9155722326454034
19250	19363	0.1696940911630599	0.740046515285167	0.9521739130434783
19488	19606	0.11974932084056573	0.8087356417167183	0.890625
20036	20217	0.12023002342391283	0.7378472439567269	0.941468253968254
20885	20990	0.24010689436055088	0.44051316307345123	0.9841897233201581
21038	21216	0.09974743218819969	0.7436660048926496	0.9916573971078977
21240	21377	0.15975133527126265	0.5614572013660366	0.9526909722222222
21645	21800	0.13113852271773838	0.6708080906991085	0.9359925788497216
23439	23605	0.15044077639926307	0.5458985910610451	0.9361702127659575
23639	23807	0.10657959474310488	0.7837356186667642	0.9754273504273504
24066	24205	0.1910237245955338	0.6048919853984911	0.9407894736842105
24841	24961	0.16617475187958586	0.6354798210389355	0.9562419562419563
25634	25813	0.21076299095767675	0.7155335098874579	0.9707641196013289
26131	26207	0.1542472535436005	0.6156258727907401	0.991304347826087
26235	26412	0.07805887292765162	0.753955631686654	0.9228682170542636
26471	26619	0.10198357019563042	0.6320478732341253	0.9234161988773055
27648	27795	0.16068266631420466	0.6772510557593407	0.9433497536945813
28071	28209	0.03833889425264458	0.674425195676866	0.9342891278375149
28443	28620	0.10572663501480292	0.628144868604735	0.8897468897468898
28648	28812	0.12903222051693117	0.7917645948965244	0.976027397260274
29037	29209	0.13867855693586428	0.7450990054889411	0.9539969834087481
