		AUROC	∆DMS
1	80	0.8292181	
2	81	0.86419755	
3	82	0.8630952	
4	83	0.8630952	
5	84	0.8986355	
6	85	0.92105263	
7	86	0.9263158	
8	87	0.9263158	
9	88	0.9263158	
10	89	0.9263158	
11	90	0.9263158	
12	91	0.9263158	
13	92	0.95578945	
14	93	0.95578945	
15	94	0.9533333	
16	95	0.9505882	
17	96	0.9482353	
18	97	0.95111114	
19	98	0.9536842	
20	99	0.9517544	
21	100	0.9517544	
22	101	0.9496567	
23	102	0.9569378	
24	103	0.9590909	
25	104	0.9590909	
26	105	0.9590909	
27	106	0.9588101	
28	107	0.9610984	
29	108	0.95933014	
30	109	0.9570707	
31	110	0.9570707	
32	111	0.95454544	
33	112	0.95170456	
34	113	0.96022725	
35	114	0.9583333	
36	115	0.95625	
37	116	0.95394737	
38	117	0.9444444	
39	118	0.9477124	
40	119	0.9379085	
41	120	0.9340278	
42	121	0.9177632	
43	122	0.921875	
44	123	0.92261904	
45	124	0.9174603	
46	125	0.91818184	
47	126	0.92121214	
48	127	0.92121214	
49	128	0.9206349	
50	129	0.91071427	
51	130	0.9111111	
52	131	0.9047619	
53	132	0.89915967	
54	133	0.89915967	
55	134	0.89915967	
56	135	0.8888889	
57	136	0.8947368	
58	137	0.8891967	
59	138	0.8947368	
60	139	0.8994709	
61	140	0.9040404	
62	141	0.9040404	
63	142	0.90821254	
64	143	0.9097222	
65	144	0.9264706	
66	145	0.9264706	
67	146	0.9264706	
68	147	0.92941177	
69	148	0.9264706	
70	149	0.9232737	
71	150	0.9197861	
72	151	0.91798943	
73	152	0.91798943	
74	153	0.9131653	
75	154	0.91071427	
76	155	0.93015873	
77	156	0.9285714	
78	157	0.929972	
79	158	0.93386245	
80	159	0.9527778	
81	160	0.95614034	
82	161	0.95614034	
83	162	0.96198833	
84	163	0.9639889	
85	164	0.9639889	
86	165	0.9639889	
87	166	0.9657895	
88	167	0.9657895	
89	168	0.9657895	
90	169	0.9675	
91	170	0.96666664	
92	171	0.96825397	
93	172	0.96666664	
94	173	0.9681818	
95	174	0.9681818	
96	175	0.9681818	
97	176	0.9681818	0.1882674700423798
98	177	0.96666664	0.1882674700423798
99	178	0.96666664	0.2392647102166701
100	179	0.96666664	0.2392647102166701
101	180	0.9665072	0.1882674700423798
102	181	0.9665072	0.1882674700423798
