		AC	GU
1	100	0.02940075471698113	0.0061759574468085105
51	150	0.027386595744680844	0.005257169811320754
101	200	0.025012916666666666	0.0054634615384615386
151	250	0.020944999999999995	0.006297321428571428
201	300	0.02028787234042553	0.006831509433962264
251	350	0.0240022	0.0058258
301	400	0.026387555555555556	0.00770818181818182
351	450	0.021894523809523808	0.007881724137931034
401	500	0.021214893617021276	0.005486037735849057
451	550	0.022190625000000002	0.0062655769230769215
501	600	0.0249695	0.007989666666666666
551	650	0.023147499999999998	0.007548928571428572
601	700	0.02044	0.00654470588235294
651	750	0.02198395833333333	0.007413846153846154
701	800	0.022212941176470588	0.007502857142857144
751	850	0.023407400000000002	0.008516600000000003
801	900	0.025472448979591833	0.007374901960784313
851	950	0.027095625	0.006155192307692308
901	1000	0.032971914893617026	0.0069954716981132075
951	1050	0.029344230769230775	0.0062385416666666665
1001	1100	0.021063529411764707	0.005316326530612245
1051	1150	0.023693018867924534	0.00593468085106383
1101	1200	0.02649865384615385	0.006426249999999999
1151	1250	0.024029999999999996	0.005612075471698114
1201	1300	0.02335088888888889	0.006165090909090908
1251	1350	0.0257754347826087	0.0064240740740740725
1301	1400	0.0280396	0.004457
1351	1450	0.028072307692307688	0.004893125000000001
1401	1500	0.02753840909090909	0.007288571428571429
1451	1550	0.02812742857142857	0.006986153846153846
1501	1600	0.023650250000000005	0.006286333333333334
1551	1650	0.021149636363636357	0.0056040000000000005
1601	1700	0.021958333333333344	0.00476108695652174
1651	1750	0.022116052631578946	0.004881612903225807
1701	1800	0.021374186046511628	0.003983508771929824
1751	1850	0.021068545454545454	0.005418222222222223
1801	1900	0.026744	0.006484599999999999
1851	1950	0.029479767441860462	0.0044654385964912275
1901	2000	0.02458192307692308	0.004785208333333333
1951	2050	0.024362830188679237	0.005598510638297873
2001	2100	0.0252009756097561	0.005953559322033898
2051	2150	0.02538666666666667	0.005919454545454545
2101	2200	0.026243478260869556	0.0064498148148148145
2151	2250	0.02191861111111111	0.007294687499999999
2201	2300	0.018392045454545456	0.006738571428571429
2251	2350	0.021860454545454547	0.004651964285714286
2301	2400	0.020725476190476193	0.005491896551724138
2351	2450	0.022576078431372545	0.007786530612244899
2401	2500	0.026402105263157897	0.006973488372093024
2451	2550	0.02724339285714286	0.006
2501	2600	0.027139245283018865	0.0048742553191489365
2551	2650	0.025098599999999992	0.0049194
2601	2700	0.025999814814814816	0.005007608695652174
2651	2750	0.025618275862068968	0.005692142857142857
2701	2800	0.023668367346938776	0.005615098039215685
2751	2850	0.023228695652173916	0.004678888888888889
2801	2900	0.022389772727272727	0.005831785714285714
2851	2950	0.02419938775510204	0.006459803921568627
2901	3000	0.024100851063829788	0.006985660377358491
2951	3050	0.021834358974358977	0.005844426229508196
3001	3100	0.021206	0.005893090909090908
3051	3150	0.024676874999999997	0.007124615384615384
3101	3200	0.026612999999999998	0.0058244
