region	start	end	n_valid	max1	max2	max1/2	R^2	pass
1	42	223	40	0.923	0.053	17.337	0.003	False
2	244	406	37	0.377	0.102	3.682	0.017	False
3	440	603	34	0.135	0.064	2.117	0.677	False
4	630	801	50	0.107	0.097	1.101	0.232	True
5	829	1013	65	0.252	0.346	0.729	0.516	False
6	1036	1201	67	0.101	0.258	0.393	0.392	True
7	1251	1413	67	0.4	0.072	5.589	0.067	False
8	1431	1598	41	0.119	0.13	0.918	0.199	True
9	1652	1817	48	0.079	0.133	0.593	0.853	False
10	2049	2222	57	0.052	0.138	0.377	0.256	True
11	2454	2620	61	0.105	0.072	1.461	0.071	True
12	2648	2779	58	0.105	0.046	2.304	0.432	True
13	2856	3009	48	0.089	0.066	1.349	0.452	True
14	3247	3397	57	0.069	0.075	0.912	0.551	False
15	3450	3614	49	0.104	0.067	1.556	0.123	True
16	3635	3805	69	0.072	0.06	1.209	0.046	True
17	4081	4208	45	0.077	0.117	0.656	0.26	True
18	4231	4418	76	0.091	0.053	1.709	0.084	True
19	4448	4608	60	0.108	0.338	0.319	0.0	False
20	4652	4779	47	0.109	0.063	1.721	0.386	True
21	5053	5202	50	0.11	0.057	1.934	0.42	True
22	5238	5375	47	0.321	0.114	2.802	0.057	False
23	5465	5610	44	0.078	0.164	0.476	0.113	True
24	5637	5806	75	0.053	0.145	0.368	0.0	True
25	5836	6015	74	0.355	0.066	5.376	0.363	False
26	6040	6212	55	0.091	0.196	0.466	0.23	True
27	6437	6617	62	0.103	0.048	2.161	0.163	True
28	6872	6999	35	0.299	0.068	4.393	0.006	False
29	7033	7219	47	0.09	0.168	0.54	0.125	True
30	7249	7395	40	0.035	0.151	0.233	0.092	False
31	7438	7610	53	0.053	0.137	0.384	0.069	True
32	7647	7757	43	0.049	0.099	0.492	0.513	False
33	8270	8386	47	0.068	0.098	0.696	0.018	True
34	8831	8999	63	0.068	0.127	0.538	0.273	True
35	9034	9212	54	0.085	0.272	0.313	0.591	False
36	9242	9407	51	0.066	0.137	0.485	0.116	True
37	9452	9616	41	0.042	0.096	0.432	0.528	False
38	9870	10017	54	0.064	0.048	1.32	0.173	True
39	10047	10185	52	0.777	0.063	12.378	0.343	False
40	10276	10421	61	0.093	0.047	1.968	0.65	False
41	10446	10616	66	0.083	0.047	1.785	0.043	True
42	10631	10810	70	0.054	0.069	0.78	0.074	True
43	10832	11005	54	0.091	0.272	0.334	0.248	True
44	11043	11217	55	0.374	0.041	9.055	0.045	False
45	11249	11375	28	0.084	0.106	0.789	0.274	True
46	11656	11804	48	0.083	0.047	1.784	0.091	True
47	11830	12018	80	0.104	0.051	2.051	0.087	True
48	12048	12217	70	0.083	0.035	2.361	0.002	True
49	12249	12412	67	0.299	0.066	4.496	0.343	False
50	12442	12609	62	0.155	0.082	1.896	0.096	True
51	12646	12806	65	0.069	0.163	0.423	0.512	False
52	12842	13022	69	0.151	0.066	2.287	0.061	True
53	13049	13217	51	0.139	0.042	3.333	0.453	False
54	13247	13423	69	0.076	0.107	0.712	0.279	True
55	13434	13601	56	0.086	0.06	1.427	0.074	True
56	13630	13802	60	0.635	0.186	3.409	0.792	False
57	13832	14003	54	0.097	0.094	1.03	0.188	True
58	14033	14181	32	0.076	0.069	1.1	0.225	True
59	14234	14401	52	0.086	0.21	0.411	0.033	True
60	14429	14618	45	0.095	0.167	0.57	0.871	False
61	14667	14763	34	0.07	0.05	1.39	0.019	True
62	14901	15002	39	0.067	0.137	0.49	0.159	True
63	15032	15212	65	0.899	0.758	1.187	0.968	False
64	15239	15407	64	0.044	0.084	0.525	0.319	True
65	15445	15597	53	0.051	0.102	0.498	0.099	True
66	15684	15817	39	0.049	0.306	0.161	0.0	False
67	15847	15985	53	0.112	0.088	1.278	0.782	False
68	16031	16212	61	0.043	0.076	0.563	0.147	True
69	16233	16408	63	0.083	0.045	1.858	0.243	True
70	16440	16609	29	0.147	0.136	1.082	0.028	True
71	16660	16764	46	0.08	0.049	1.648	0.0	True
72	17058	17179	26	0.215	0.126	1.714	0.154	True
73	17268	17411	60	0.043	0.11	0.397	0.125	True
74	17444	17617	65	0.184	0.06	3.05	0.485	False
75	17652	17818	66	0.109	0.054	2.021	0.2	True
76	18060	18158	45	0.087	0.215	0.405	0.532	False
77	18270	18366	31	0.493	0.083	5.911	0.0	False
78	18467	18596	56	0.069	0.131	0.523	0.301	True
79	18638	18800	50	0.075	0.08	0.942	0.0	True
80	18890	19003	36	0.126	0.212	0.594	0.926	False
81	19047	19213	65	0.066	0.19	0.346	0.006	True
82	19250	19363	37	0.045	0.05	0.909	0.357	True
83	19488	19606	39	0.087	0.099	0.874	0.493	True
84	19651	19816	66	0.173	0.042	4.138	0.103	False
85	19833	19999	55	0.29	0.665	0.436	0.867	False
86	20036	20217	75	0.068	0.093	0.727	0.373	True
87	20483	20606	30	0.057	0.78	0.073	0.003	False
88	20885	20990	33	0.052	0.061	0.854	0.005	True
89	21038	21216	54	0.068	0.089	0.762	0.293	True
90	21240	21377	52	0.067	0.072	0.934	0.09	True
91	21645	21800	66	0.089	0.039	2.309	0.322	True
92	22237	22420	65	0.693	0.685	1.013	0.824	False
93	22450	22613	71	0.184	0.289	0.638	0.654	False
94	22864	23002	42	0.096	0.051	1.883	0.595	False
95	23040	23198	66	0.073	0.125	0.583	0.864	False
96	23253	23418	67	0.068	0.365	0.186	0.131	False
97	23439	23605	69	0.093	0.167	0.555	0.252	True
98	23639	23807	59	0.058	0.089	0.653	0.342	True
99	24066	24205	50	0.058	0.06	0.966	0.127	True
100	24234	24403	72	0.061	0.193	0.313	0.041	False
101	24841	24961	47	0.083	0.081	1.021	0.208	True
102	25079	25213	51	0.17	0.071	2.388	0.752	False
103	25243	25418	48	0.225	0.603	0.373	0.14	False
104	25448	25610	61	0.131	0.073	1.786	0.914	False
105	25634	25813	61	0.062	0.073	0.848	0.353	True
106	26131	26207	25	0.091	0.047	1.944	0.094	True
107	26235	26412	43	0.101	0.177	0.571	0.379	True
108	26471	26619	48	0.103	0.094	1.093	0.207	True
109	26645	26813	43	0.044	0.056	0.798	0.763	False
110	26840	27020	71	0.136	0.09	1.513	0.956	False
111	27037	27203	60	0.094	0.049	1.925	0.888	False
112	27234	27402	64	0.069	0.103	0.672	0.509	False
113	27435	27616	57	0.111	0.799	0.139	0.212	False
114	27648	27795	57	0.064	0.075	0.853	0.269	True
115	28071	28209	28	0.22	0.189	1.164	0.279	True
116	28243	28420	70	0.136	0.065	2.109	0.717	False
117	28443	28620	83	0.131	0.109	1.203	0.255	True
118	28648	28812	85	0.083	0.067	1.247	0.483	True
119	28842	29005	61	0.109	0.062	1.771	0.951	False
120	29037	29209	89	0.106	0.075	1.405	0.41	True
121	29228	29417	100	0.104	0.072	1.437	0.697	False
122	29437	29569	54	0.166	0.093	1.791	0.944	False
